real_ddG,predicted_ddG,index,set,Inner_Fold,Outer_Fold
-10.553817,-10.6869,23,Training,2,1
11.582187,8.126304,596,Training,2,1
2.951785,4.037502,377,Training,2,1
-9.809491,-8.3027525,299,Training,2,1
-5.182881,-3.9851582,37,Training,2,1
-11.243289,-11.033513,178,Training,2,1
6.6005898,8.62953,491,Training,2,1
12.287072,12.228847,677,Training,2,1
9.647698,11.446506,417,Training,2,1
-9.081853,-6.808259,224,Training,2,1
-9.809491,-7.014619,65,Training,2,1
9.081853,9.164175,45,Training,2,1
-10.147977,-10.928909,33,Training,2,1
-6.399971,-8.514697,59,Training,2,1
-12.901878,-9.520906,146,Training,2,1
6.3846426,-4.48632,262,Training,2,1
7.2991705,3.548374,245,Training,2,1
-9.809491,-9.750602,137,Training,2,1
-8.538893,-8.785832,318,Training,2,1
-13.906964,-10.680551,58,Training,2,1
11.200126,9.322514,466,Training,2,1
-5.0932493,-1.4266145,229,Training,2,1
6.562173,3.8236206,116,Training,2,1
-11.025974,-10.702519,21,Training,2,1
14.393232,11.362357,422,Training,2,1
-11.582187,-7.312238,232,Training,2,1
-9.41236,-6.8798695,1,Training,2,1
-9.647698,-7.567855,222,Training,2,1
-1.0335548,-4.861687,631,Training,2,1
-3.2465277,-3.458386,36,Training,2,1
-7.2991705,-6.8394284,429,Training,2,1
11.965903,10.958102,399,Training,2,1
9.506176,6.870806,352,Training,2,1
9.485906,9.578158,467,Training,2,1
10.147977,10.390254,376,Training,2,1
-6.2872972,-5.623983,217,Training,2,1
-8.010414,-7.459477,210,Training,2,1
7.049818,6.5985665,264,Training,2,1
9.485906,8.956287,494,Training,2,1
11.103833,10.8228445,384,Training,2,1
8.621035,9.864806,383,Training,2,1
-11.200126,-9.547488,156,Training,2,1
-12.04771,-10.637954,20,Training,2,1
-8.538893,-8.521787,622,Training,2,1
-12.728371,-10.664679,159,Training,2,1
9.485906,8.76725,488,Training,2,1
-10.373469,-4.064144,589,Training,2,1
-12.728371,-11.611735,82,Training,2,1
-10.373469,-7.2217155,73,Training,2,1
9.185591,6.201065,93,Training,2,1
4.5566273,3.6465476,510,Training,2,1
-9.817585,-9.660396,149,Training,2,1
-6.9499965,-7.0370626,180,Training,2,1
-7.2991705,-7.5423326,463,Training,2,1
-7.911209,-7.416981,529,Training,2,1
12.346309,10.195337,649,Training,2,1
-9.860089,-9.195745,329,Training,2,1
-11.391156,-7.4077983,199,Training,2,1
7.911209,5.634994,447,Training,2,1
10.780248,12.362271,503,Training,2,1
-12.346309,-10.391114,306,Training,2,1
9.809491,8.484949,54,Training,2,1
-14.256616,-10.200561,310,Training,2,1
8.538893,8.497758,661,Training,2,1
-8.538893,-7.633073,626,Training,2,1
4.660579,7.450234,500,Training,2,1
-3.1565387,-6.0158296,143,Training,2,1
9.234157,6.919269,474,Training,2,1
-8.208399,-6.0872426,632,Training,2,1
4.019613,6.0769706,540,Training,2,1
8.645655,10.174869,682,Training,2,1
-8.538893,-5.061049,455,Training,2,1
11.582187,9.430914,575,Training,2,1
-9.185591,-5.8563204,436,Training,2,1
8.970435,10.306096,669,Training,2,1
6.2872972,7.184117,560,Training,2,1
-9.647698,-7.7254324,223,Training,2,1
10.547433,8.662988,643,Training,2,1
14.662326,13.195509,509,Training,2,1
9.809491,9.013662,403,Training,2,1
8.538893,9.4467535,470,Training,2,1
-5.8907046,-6.0972576,38,Training,2,1
-7.573369,-6.7772446,235,Training,2,1
-14.662326,-10.615912,158,Training,2,1
-10.757191,-8.685363,324,Training,2,1
11.850297,11.167465,639,Training,2,1
-5.44685,-5.540487,606,Training,2,1
10.547433,7.8220134,552,Training,2,1
8.222192,6.9930587,90,Training,2,1
12.901878,10.988893,477,Training,2,1
-12.728371,-10.786429,28,Training,2,1
-12.728371,-10.099956,163,Training,2,1
-4.019613,-5.8956275,197,Training,2,1
-7.6409483,-7.5383058,530,Training,2,1
10.152485,9.697123,389,Training,2,1
8.761648,10.149385,400,Training,2,1
-5.7354274,-3.5557392,660,Training,2,1
-8.208399,-8.270694,614,Training,2,1
8.538893,8.615629,279,Training,2,1
14.662326,12.845578,426,Training,2,1
-9.234157,-10.194415,55,Training,2,1
-8.131989,-6.866684,70,Training,2,1
1.9616554,2.7363603,361,Training,2,1
6.7501397,6.338314,191,Training,2,1
-9.234157,-5.776399,394,Training,2,1
6.7501397,0.20629412,110,Training,2,1
9.234157,7.686276,550,Training,2,1
7.6409483,7.3518643,190,Training,2,1
15.600111,12.10797,635,Training,2,1
-5.9894924,-7.6494727,47,Training,2,1
-9.506176,-5.8682957,9,Validation,2,1
-9.234157,-5.532065,11,Validation,2,1
-7.168044,-6.932898,13,Validation,2,1
-7.911209,-7.0936465,14,Validation,2,1
-4.660579,-4.5258446,15,Validation,2,1
-8.222192,-5.425575,17,Validation,2,1
-1.9616554,-3.6236832,18,Validation,2,1
-11.29468,-11.244748,22,Validation,2,1
-14.662326,-10.625037,29,Validation,2,1
-12.728371,-10.637954,32,Validation,2,1
-3.3229718,-4.8090115,39,Validation,2,1
-11.103833,-10.299812,41,Validation,2,1
-8.010414,-7.7836986,42,Validation,2,1
-9.234157,-6.810687,49,Validation,2,1
-9.809491,-7.525414,60,Validation,2,1
-7.168044,-7.5370526,64,Validation,2,1
9.647698,7.6280513,88,Validation,2,1
7.573369,6.5812516,95,Validation,2,1
-6.7501397,-7.3647714,103,Validation,2,1
-6.9499965,-8.119301,107,Validation,2,1
7.1635184,4.7659287,111,Validation,2,1
-6.3323684,-6.2833695,126,Validation,2,1
-7.0493245,-5.9533534,128,Validation,2,1
-11.200126,-9.237967,132,Validation,2,1
-12.901878,-9.622539,135,Validation,2,1
-11.200126,-9.513247,147,Validation,2,1
